Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Date Added
Smoking Upregulates Angiotensin-Converting Enzyme-2 Receptor: A Potential Adhesion Site for Novel Coronavirus SARS-CoV-2 (Covid-19),"Brake, Samuel James; Barnsley, Kathryn; Lu, Wenying; McAlinden, Kielan Darcy; Eapen, Mathew Suji; Sohal, Sukhwinder Singh","The epicenter of the original outbreak in China has high male smoking rates of around 50%, and early reported death rates have an emphasis on older males, therefore the likelihood of smokers being overrepresented in fatalities is high. In Iran, China, Italy, and South Korea, female smoking rates are much lower than males. Fewer females have contracted the virus. If this analysis is correct, then Indonesia would be expected to begin experiencing high rates of Covid-19 because its male smoking rate is over 60% (Tobacco Atlas). Smokers are vulnerable to respiratory viruses. Smoking can upregulate angiotensin-converting enzyme-2 (ACE2) receptor, the known receptor for both the severe acute respiratory syndrome (SARS)-coronavirus (SARS-CoV) and the human respiratory coronavirus NL638. This could also be true for new electronic smoking devices such as electronic cigarettes and &ldquo;heat-not-burn&rdquo; IQOS devices. ACE2 could be a novel adhesion molecule for SARS-CoV-2 causing Covid-19 and a potential therapeutic target for the prevention of fatal microbial infections, and therefore it should be fast tracked and prioritized for research and investigation. Data on smoking status should be collected on all identified cases of Covid-19.",2020,,"Journal of Clinical Medicine 2020, Vol. 9, Page 841",9,3,841-841,,10.3390/JCM9030841,10202,#10427,Brake 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment",20-03-20
Public health measures to slow community spread of COVID-19 | The Journal of Infectious Diseases | Oxford Academic,"Benjamin J Cowling, PhD Allison Aiello PhD","COVID-19 was initially identified in an outbreak of viral pneumonia in Wuhan in December 2019, and has now been recognized in 77 countries with over 90,000 laboratory-confirmed cases and over 3,000 deaths as of 3 March 2020 [1]. The epidemiology of COVID-19 has recently become clearer as incident cases continue to rise and researchers refine estimates of the severity, transmissibility, and populations affected. Based on available data, COVID-19 is efficiently transmitted in the community, and the proportion of infections leading to severe illness is particularly high among adults ≥50 years of age and among individuals with comorbid health conditions. Although rare, severe cases have also been reported among younger individuals. Thus far, the estimated basic reproductive number (R0) of COVID-19 is higher than that of influenza [2], as is the case fatality risk for adults and older individuals. An estimated 80% of COVID-19 cases are mild [1]. This is not a glass half full statistic, as 20% of infections result in clinically severe cases that have the potential to overwhelm already overburdened health facilities. Given the lack of vaccines and effective antivirals, nonpharmaceutical interventions (NPIs) are the most effective available interventions for local and global control and mitigation of COVID-19. To date, measures aimed at slowing introduction of infection globally have included travel restrictions, isolation of confirmed cases, and quarantine of exposed persons. In the United States, NPIs have reduced the number of infected persons entering the country, but recent outbreaks in multiple US states make it clear that these measures have delayed but not prevented community transmission. In 2009, NPIs were able to delay large epidemic waves of pandemic influenza A(H1N1)pdm09 in some locations until after the summer, since influenza transmission tends to be reduced by higher temperatures and humidity. It is unclear whether COVID-19 transmission will be heavily affected by seasonal weather variation, given that transmission is now occurring in multiple tropical and sub-tropical locations.",2020,,The Journal of Infectious Diseases,,,,,,10209,#10434,BenjaminJCowling 2020,,* Narrative review; * Opinion piece; Epidemiology; Infection prevention and control,20-03-20
Should patients stop their biologic treatment during the COVID-19 pandemic,"Bashyam, Arjun M.; Feldman, Steven R.",,2020,,The Journal of dermatological treatment,,,01-Feb,,10.1080/09546634.2020.1742438,10232,#10440,Bashyam 2020,,"* Opinion piece; Clinical aspects, diagnosis, treatment",20-03-20
Immunoinformatics-aided identification of T cell and B cell epitopes in the surface glycoprotein of 2019-nCoV,"Baruah, Vargab; Bose, Sujoy","The 2019 novel coronavirus (2019-nCoV) outbreak has caused a large number of deaths with thousands of confirmed cases worldwide, especially in East Asia. This study took an immunoinformatics approach to identify significant cytotoxic T lymphocyte (CTL) and B cell epitopes in the 2019-nCoV surface glycoprotein. Also, interactions between identified CTL epitopes and their corresponding major histocompatibility complex (MHC) class I supertype representatives prevalent in China were studied by molecular dynamics simulations. We identified five CTL epitopes, three sequential B cell epitopes and five discontinuous B cell epitopes in the viral surface glycoprotein. Also, during simulations, the CTL epitopes were observed to be binding MHC class I peptide-binding grooves via multiple contacts, with continuous hydrogen bonds and salt bridge anchors, indicating their potential in generating immune responses. Some of these identified epitopes can be potential candidates for the development of 2019-nCoV vaccines.",2020,,Journal of Medical Virology,92,5,495-500,WOS:000517679900001,10.1002/jmv.25698,10599,#10443,Baruah 2020,,"Virology, immunology",20-03-20
Teicoplanin: an alternative drug for the treatment of coronavirus COVID-19?,"Baron, Sophie Alexandra; Devaux, Christian; Colson, Philippe; Raoult, Didier; Rolain, Jean-Marc","In December 2019, a new coronavirus, named SARS-CoV-2, has emerged from China causing pneumonia outbreaks first in the Wuhan region and have now spread worldwide because of its probable high transmission efficiency. Due to the lack of efficient and specific treatments and the need to contain the epidemic, drug repurposing appears to be the besttool to find therapeutic solution. Chloroquine, remdesivir, lopinavir, ribavirin or ritonavir have shown efficacy to inhibit coronavirus in vitro. Teicoplanin, an antibiotic used to treat staphylococci infection, previously showed efficacy to inhibit the first stageof MERS-coronarivus viral cyclein human cells. This activity is conserved on the SARS-Cov-2,thus placing teicoplanin as a potential treatment for patients with this virus.",2020,,International journal of antimicrobial agents,,,105944-105944,MEDLINE:32179150,10.1016/j.ijantimicag.2020.105944,10405,#10445,Baron 2020,,"* Opinion piece; Clinical aspects, diagnosis, treatment",20-03-20
Alert for non-respiratory symptoms of Coronavirus Disease 2019 (COVID-19) patients in epidemic period: A case report of familial cluster with three asymptomatic COVID-19 patients,"Lu, Shubiao; Lin, Jinsong; Zhang, Zhiqiao; Xiao, Liping; Jiang, Zhijian; Chen, Jia; Hu, Chongjing; Luo, Shi","At present, Coronavirus Disease 2019 (COVID-19) is rampaging around the world. However, asymptomatic carriers intensified the difficulty of prevention and management. Here we reported the screening, clinical feathers, and treatment process of a family cluster involving three COVID-19 patients. The discovery of the first asymptomatic carrier in this family cluster depends on the repeated and comprehensive epidemiological investigation by disease control experts. In addition, the combination of multiple detection methods can help clinicians find asymptomatic carriers as early as possible. In conclusion, the prevention and control experience of this family cluster showed that comprehensive rigorous epidemiological investigation and combination of multiple detection methods were of great value for the detection of hidden asymptomatic carriers. This article is protected by copyright. All rights reserved.",2020,,Journal of medical virology,,,,,10.1002/jmv.25776,10234,#10464,Lu 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment; Epidemiology",20-03-20
The impact of high-flow nasal cannula (HFNC) on coughing distance: implications on its use during the novel coronavirus disease outbreak,"Loh, Ne-Hooi Will; Tan, Yanni; Taculod, Juvel; Gorospe, Billy; Teope, Analine S.; Somani, Jyoti; Tan, Addy Yong Hui",,2020,,,,,,,10.1007/s12630-020-01634-3,10242,#10467,Loh 2020,,* Opinion piece; Infection prevention and control,20-03-20
"Overlapping and discrete aspects of the pathology and pathogenesis of the emerging human pathogenic coronaviruses SARS-CoV, MERS-CoV, and 2019-nCoV","Liu, Jia; Zheng, Xin; Tong, Qiaoxia; Li, Wei; Wang, Baoju; Sutter, Kathrin; Trilling, Mirko; Lu, Mengji; Dittmer, Ulf; Yang, Dongliang","First reported from Wuhan, The People's Republic of China, on 31 December 2019, the ongoing outbreak of a novel coronavirus (2019-nCoV) causes great global concerns. Based on the advice of the International Health Regulations Emergency Committee and the fact that to date 24 other countries also reported cases, the WHO Director-General declared that the outbreak of 2019-nCoV constitutes a Public Health Emergency of International Concern on 30 January 2020. Together with the other two highly pathogenic coronaviruses, the severe acute respiratory syndrome coronavirus (SARS-CoV) and Middle East respiratory syndrome coronavirus (MERS-CoV), 2019-nCov and other yet to be identified coronaviruses pose a global threat to public health. In this mini-review, we provide a brief introduction to the pathology and pathogenesis of SARS-CoV and MERS-CoV and extrapolate this knowledge to the newly identified 2019-nCoV.",2020,,Journal of Medical Virology,92,5,491-494,WOS:000514677000001,10.1002/jmv.25709,10687,#10484,Liu 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment; Epidemiology; Other related diseases and viruses",20-03-20
Thrombocytopenia is associated with severe coronavirus disease 2019 (COVID-19) infections: A meta-analysis,"Lippi, Giuseppe; Plebani, Mario; Michael Henry, Brandon","BACKGROUND: Coronavirus disease 2019 (COVID-19) is a novel infectious disease with lack of established laboratory markers available to evaluate illness severity. In this study, we investigate whether platelet count could differentiate between COVID-19 patients with or without severe disease. Additionally, we evaluate if thrombocytopenia is associated with severe COVID-19. METHODS: An electronic search in Medline, Scopus and Web of Science was performed to identify studies reporting data on platelet count in COVID-19 patients. A meta-analysis was performed, with calculation of weighted mean difference (WMD) of platelet number in COVID-19 patients with or without severe disease and odds ratio (OR) of thrombocytopenia for severe form of COVID-19. RESULTS: Nine studies with 1779 COVID-19 patients, 399 (22.4%) with severe disease, were included in the meta-analysis. The pooled analysis revealed that platelet count was significantly lower in patients with more severe COVID-19 (WMD -31*109/L; 95% CI, from -35 to -29*109/L). A subgroup analysis comparing patients by survival, found an even lower platelet count was observed with mortality (WMD, -48*109/L; 95% CI, -57 to -39*109/L. In the four studies (n=1427) which reported data on rate of thrombocytopenia, a low platelet count was associated with over fivefold enhanced risk of severe COVID-19 (OR, 5.1; 95% CI, 1.8-14.6). CONCLUSIONS: Low platelet count is associated with increased risk of severe disease and mortality in patients with COVID-19, and thus should serve as clinical indicator of worsening illness during hospitalization.",2020,,Clinica chimica acta; international journal of clinical chemistry,,,,MEDLINE:32178975,10.1016/j.cca.2020.03.022,10402,#10488,Lippi 2020,,"* Systematic review; Clinical aspects, diagnosis, treatment",20-03-20
The critical role of laboratory medicine during coronavirus disease 2019 (COVID-19) and other viral outbreaks,"Lippi, Giuseppe; Plebani, Mario","Coronavirus disease 2019, abbreviated to COVID-19 and sustained by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), is the latest biological hazard to assume the relevance of insidious worldwide threat. One obvious question that is now engaging the minds of many scientists and healthcare professionals is whether and eventually how laboratory medicine could efficiently contribute to counteract this and other (future) viral outbreaks. Despite there being evidence that laboratory tests are vital throughout many clinical pathways, there are at least three major areas where in vitro diagnostics can also provide essential contributions to diagnostic reasoning and managed care of patients with suspected or confirmed SARS-CoV-2 infection. These include etiological diagnosis, patient monitoring, as well as epidemiologic surveillance. Nonetheless, some structural and practical aspects may generate substantial hurdles in providing timely and efficient response to this infectious emergency, which basically include inadequate (insufficient) environment and shortage of technical and human resources for facing enhanced volume of tests on many infected patients, some of whom are with severe disease. Some proactive and reactive strategies may hence be identified to confront this serious healthcare challenge, which entail major investments on conventional laboratory resources, reinforcement of regional networks of clinical laboratories, installation of mobile laboratories, as well as being proactive in establishing laboratory emergency plans.",2020,,Clinical chemistry and laboratory medicine,,,,,10.1515/cclm-2020-0240,10221,#10490,Lippi 2020,,* Narrative review,20-03-20
Persistence and clearance of viral RNA in 2019 novel coronavirus disease rehabilitation patients,"Ling, Yun; Xu, Shui-Bao; Lin, Yi-Xiao; Tian, Di; Zhu, Zhao-Qin; Dai, Fa-Hui; Wu, Fan; Song, Zhi-Gang; Huang, Wei; Chen, Jun; Hu, Bi-Jie; Wang, Sheng; Mao, En-Qiang; Zhu, Lei; Zhang, Wen-Hong; Lu, Hong-Zhou","Background: A patient's infectivity is determined by the presence of the virus in different body fluids, secretions, and excreta. The persistence and clearance of viral RNA from different specimens of patients with 2019 novel coronavirus disease (COVID-19) remain unclear. This study analyzed the clearance time and factors influencing 2019 novel coronavirus (2019-nCoV) RNA in different samples from patients with COVID-19, providing further evidence to improve the management of patients during convalescence. Methods: The clinical data and laboratory test results of convalescent patients with COVID-19 who were admitted to from January 20, 2020 to February 10, 2020 were collected retrospectively. The reverse transcription polymerase chain reaction (RT-PCR) results for patients’ oropharyngeal swab, stool, urine, and serum samples were collected and analyzed. Convalescent patients refer to recovered non-febrile patients without respiratory symptoms who had two successive (minimum 24 h sampling interval) negative RT-PCR results for viral RNA from oropharyngeal swabs. The effects of cluster of differentiation 4 (CD4)+ T lymphocytes, inflammatory indicators, and glucocorticoid treatment on viral nucleic acid clearance were analyzed. Results: In the 292 confirmed cases, 66 patients recovered after treatment and were included in our study. In total, 28 (42.4%) women and 38 men (57.6%) with a median age of 44.0 (34.0–62.0) years were analyzed. After in-hospital treatment, patients’ inflammatory indicators decreased with improved clinical condition. The median time from the onset of symptoms to first negative RT-PCR results for oropharyngeal swabs in convalescent patients was 9.5 (6.0–11.0) days. By February 10, 2020, 11 convalescent patients (16.7%) still tested positive for viral RNA from stool specimens and the other 55 patients’ stool specimens were negative for 2019-nCoV following a median duration of 11.0 (9.0–16.0) days after symptom onset. Among these 55 patients, 43 had a longer duration until stool specimens were negative for viral RNA than for throat swabs, with a median delay of 2.0 (1.0–4.0) days. Results for only four (6.9%) urine samples were positive for viral nucleic acid out of 58 cases; viral RNA was still present in three patients’ urine specimens after throat swabs were negative. Using a multiple linear regression model (F = 2.669, P = 0.044, and adjusted R2 = 0.122), the analysis showed that the CD4+ T lymphocyte count may help predict the duration of viral RNA detection in patients’ stools (t = −2.699, P = 0.010). The duration of viral RNA detection from oropharyngeal swabs and fecal samples in the glucocorticoid treatment group was longer than that in the non-glucocorticoid treatment group (15 days vs. 8.0 days, respectively; t = 2.550, P = 0.013) and the duration of viral RNA detection in fecal samples in the glucocorticoid treatment group was longer than that in the non-glucocorticoid treatment group (20 days vs. 11 days, respectively; t = 4.631, P < 0.001). There was no statistically significant difference in inflammatory indicators between patients with positive fecal viral RNA test results and those with negative results (P > 0.05). Conclusions: In brief, as the clearance of viral RNA in patients’ stools was delayed compared to that in oropharyngeal swabs, it is important to identify viral RNA in feces during convalescence. Because of the delayed clearance of viral RNA in the glucocorticoid treatment group, glucocorticoids are not recommended in the treatment of COVID-19, especially for mild disease. The duration of RNA detection may relate to host cell immunity. Correspondence to: Prof. Hong-Zhou Lu, Department of Infectious Disease, Shanghai Public Health Clinical Center, Shanghai 201508, ChinaE-Mail: luhongzhou@fudan.edu.cn How to cite this article: Ling Y, Xu SB, Lin YX, Tian D, Zhu ZQ, Dai FH, Wu F, Song ZG, Huang W, Chen J, Hu BJ, Wang S, Mao EQ, Zhu L, Zhang WH, Lu HZ. Persistence and clearance of viral RNA in 2019 novel coronavirus disease rehabilitation patients. Chin Med J 2020;00:00–00. doi: 10.1097/CM9.0000000000000774 Yun Ling, Shui-Bao Xu, and Yi-Xiao Lin contributed equally to this work and should be regarded as co-first authors. Received February 14, 2020 This is an open access article distributed under the terms of the Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND), where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal. http://creativecommons.org/licenses/by-nc-nd/4.0 © 2020 by Lippincott Williams & Wilkins, Inc.",2020,,Chinese Medical Journal,Publish Ahead of Print,,,00029330-900000000-99362,10.1097/cm9.0000000000000774,10793,#10492,Ling 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment",20-03-20
Diagnosis and Treatment Plan for COVID-19VCOID-2019 (Trial Version 6) Potential therapeutic options for coronavirus disease 2019: using knowledge of past outbreaks to guide future treatment,"Lin, John; Ouyang, Jing; Peng, Xiao-Rong; Isnard, Stéphane; Fombuena, Brandon; Routy, Jean-Pierre; Chen, Yao-Kai",,2020,,Chinese Medical Journal,Publish Ahead of Print,,,00029330-900000000-99321,10.1097/cm9.0000000000000819 10.1097/cm9.0000000000000816,10810,#10495,Lin 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment",20-03-20
Transmission dynamics and evolutionary history of 2019-nCoV,"Li, Xingguang; Wang, Wei; Zhao, Xiaofang; Zai, Junjie; Zhao, Qiang; Li, Yi; Chaillon, Antoine","To investigate the time origin, genetic diversity, and transmission dynamics of the recent 2019-nCoV outbreak in China and beyond, a total of 32 genomes of virus strains sampled from China, Thailand, and the USA with sampling dates between 24 December 2019 and 23 January 2020 were analyzed. Phylogenetic, transmission network, and likelihood-mapping analyses of the genome sequences were performed. On the basis of the likelihood-mapping analysis, the increasing tree-like signals (from 0% to 8.2%, 18.2%, and 25.4%) over time may be indicative of increasing genetic diversity of 2019-nCoV in human hosts. We identified three phylogenetic clusters using the Bayesian inference framework and three transmission clusters using transmission network analysis, with only one cluster identified by both methods using the above genome sequences of 2019-nCoV strains. The estimated mean evolutionary rate for 2019-nCoV ranged from 1.7926 x 10(-3) to 1.8266 x 10(-3) substitutions per site per year. On the basis of our study, undertaking epidemiological investigations and genomic data surveillance could positively impact public health in terms of guiding prevention efforts to reduce 2019-nCOV transmission in real-time.",2020,,Journal of Medical Virology,92,5,501-511,WOS:000513293400001,10.1002/jmv.25701,10702,#10501,Li 2020,,"Epidemiology; Virology, immunology",20-03-20
Diagnosis and clinical management of severe acute respiratory syndrome Coronavirus 2 (SARS-CoV-2) infection: an operational recommendation of Peking Union Medical College Hospital (V2.0),"Li, Taisheng","Since December 2019, China has been experiencing an outbreak of a new infectious disease caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The clinical features include fever, coughing, shortness of breath, and inflammatory lung infiltration. China rapidly listed SARS-CoV-2-related pneumonia as a statutory infectious disease. To standardize the diagnosis and treatment of this new infectious disease, an operational recommendation for the diagnosis and management of SARS-CoV-2 infection is developed by Peking Union Medical College Hospital.",2020,,Emerging microbes & infections,9,1,582-585,MEDLINE:32172669,10.1080/22221751.2020.1735265,10293,#10503,Li 2020,,* Opinion piece,20-03-20
The Impact of COVID-19 Epidemic Declaration on Psychological Consequences: A Study on Active Weibo Users,"Li, Sijia; Wang, Yilin; Xue, Jia; Zhao, Nan; Zhu, Tingshao","<p>COVID-19 (Corona Virus Disease 2019) has significantly resulted in a large number of psychological consequences. The aim of this study is to explore the impacts of COVID-19 on people’s mental health, to assist policy makers to develop actionable policies, and help clinical practitioners (e.g., social workers, psychiatrists, and psychologists) provide timely services to affected populations. We sample and analyze the Weibo posts from 17,865 active Weibo users using the approach of Online Ecological Recognition (OER) based on several machine-learning predictive models. We calculated word frequency, scores of emotional indicators (e.g., anxiety, depression, indignation, and Oxford happiness) and cognitive indicators (e.g., social risk judgment and life satisfaction) from the collected data. The sentiment analysis and the paired sample t-test were performed to examine the differences in the same group before and after the declaration of COVID-19 on 20 January, 2020. The results showed that negative emotions (e.g., anxiety, depression and indignation) and sensitivity to social risks increased, while the scores of positive emotions (e.g., Oxford happiness) and life satisfaction decreased. People were concerned more about their health and family, while less about leisure and friends. The results contribute to the knowledge gaps of short-term individual changes in psychological conditions after the outbreak. It may provide references for policy makers to plan and fight against COVID-19 effectively by improving stability of popular feelings and urgently prepare clinical practitioners to deliver corresponding therapy foundations for the risk groups and affected people.</p>",2020,,International Journal of Environmental Research and Public Health,17,6,2032-2032,,10.3390/ijerph17062032,10204,#10504,Li 2020,,"* Narrative review; Ethics, social science, economics",20-03-20
Traditional Chinese medicine for novel coronavirus pneumonia treatment: main force or supplement?,"Li, Mi; Yang, Xue; Li, Kai; Xie, Yi-Qiang",,2020,,Traditional Medicine Research,5,2,62-64,WOS:000518426600001,10.12032/tmr20200204158,10616,#10506,Li 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment",20-03-20
Artificial Intelligence Distinguishes COVID-19 from Community Acquired Pneumonia on Chest CT,"Li, Lin; Qin, Lixin; Xu, Zeguo; Yin, Youbing; Wang, Xin; Kong, Bin; Bai, Junjie; Lu, Yi; Fang, Zhenghan; Song, Qi; Cao, Kunlin; Liu, Daliang; Wang, Guisheng; Xu, Qizhong; Fang, Xisheng; Zhang, Shiqin; Xia, Juan; Xia, Jun","Background Coronavirus disease has widely spread all over the world since the beginning of 2020. It is desirable to develop automatic and accurate detection of COVID-19 using chest CT. Purpose To develop a fully automatic framework to detect COVID-19 using chest CT and evaluate its performances. Materials and Methods In this retrospective and multi-center study, a deep learning model, COVID-19 detection neural network (COVNet), was developed to extract visual features from volumetric chest CT exams for the detection of COVID-19. Community acquired pneumonia (CAP) and other non-pneumonia CT exams were included to test the robustness of the model. The datasets were collected from 6 hospitals between August 2016 and February 2020. Diagnostic performance was assessed by the area under the receiver operating characteristic curve (AUC), sensitivity and specificity. Results The collected dataset consisted of 4356 chest CT exams from 3,322 patients. The average age is 49±15 years and there were slightly more male patients than female (1838 vs 1484; p-value=0.29). The per-exam sensitivity and specificity for detecting COVID-19 in the independent test set was 114 of 127 (90% [95% CI: 83%, 94%]) and 294 of 307 (96% [95% CI: 93%, 98%]), respectively, with an AUC of 0.96 (p-value<0.001). The per-exam sensitivity and specificity for detecting CAP in the independent test set was 87% (152 of 175) and 92% (239 of 259), respectively, with an AUC of 0.95 (95% CI: 0.93, 0.97). Conclusions A deep learning model can accurately detect COVID-19 and differentiate it from community acquired pneumonia and other lung diseases.",2020,,Radiology,,,200905-200905,,10.1148/radiol.2020200905,10222,#10509,Li 2020,,"* Case study/series; * Comparative study, RCT; Clinical aspects, diagnosis, treatment",20-03-20
"Game consumption and the 2019 novel coronavirus (vol 20, pg 275, 2019)","Li, J.; Xie, X.",,2020,,Lancet Infectious Diseases,20,3,E27-E27,WOS:000517813700002,,10648,#10514,Li 2020,,* Opinion piece; Awaiting classification; Reservoir,20-03-20
Natural small molecules as inhibitors of coronavirus lipid-dependent attachment to host cells: a possible strategy for reducing SARS-COV-2 infectivity?,"Baglivo, Mirko; Baronio, Manuela; Natalini, Giuseppe; Beccari, Tommaso; Chiurazzi, Pietro; Fulcheri, Ezio; Petralia, Paolo Pietro; Michelini, Sandro; Fiorentini, Giovanni; Miggiano, Giacinto Abele; Morresi, Assunta; Tonini, Gerolamo; Bertelli, Matteo","BACKGROUND: Viral infectivity depends on interactions between components of the host cell plasma membrane and the virus envelope. Here we review strategies that could help stem the advance of the SARS-COV-2 epidemic. METHODS AND RESULTS: We focus on the role of lipid structures, such as lipid rafts and cholesterol, involved in the process, mediated by endocytosis, by which viruses attach to and infect cells. Previous studies have shown that many naturally derived substances, such as cyclodextrin and sterols, could reduce the infectivity of many types of viruses, including the coronavirus family, through interference with lipid-dependent attachment to human host cells. CONCLUSIONS: Certain molecules prove able to reduce the infectivity of some coronaviruses, possibly by inhibiting viral lipid-dependent attachment to host cells. More research into these molecules and methods would be worthwhile as it could provide insights the mechanism of transmission of SARS-COV-2 and, into how they could become a basis for new antiviral strategies.",2020,,Acta bio-medica : Atenei Parmensis,91,1,161-164,,10.23750/abm.v91i1.9402,10219,#10519,Baglivo 2020,,,20-03-20
Securing the Safety Net and Protecting Public Health During a Pandemic: Medicaid's Response to COVID-19,"Bachireddy, Chethan; Chen, Christopher; Dar, Mohammad",,2020,,JAMA,,,,,10.1001/jama.2020.4272,10227,#10521,Bachireddy 2020,,"* Opinion piece; Ethics, social science, economics",20-03-20
Characteristics and Outcomes of 21 Critically Ill Patients With COVID-19 in Washington State,"Arentz, Matt; Yim, Eric; Klaff, Lindy; Lokhandwala, Sharukh; Riedo, Francis X.; Chong, Maria; Lee, Melissa",,2020,,JAMA,,,,,10.1001/jama.2020.4326,10228,#10527,Arentz 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment",20-03-20
"Viral loads of SARS, MERS and SARS-CoV-2 in respiratory specimens: What have we learned?","Al-Tawfiq, Jaffar A.",,2020,,Travel medicine and infectious disease,,,101629-101629,MEDLINE:32179122,10.1016/j.tmaid.2020.101629,10413,#10536,Al-Tawfiq 2020,,* Opinion piece,20-03-20
New coronavirus,,,2020,,Bulletin of the World Health Organization,98,2,81-81,WOS:000518382200005,,10715,#10544,,,Awaiting classification,20-03-20
Novel coronavirus response,,,2020,,Bulletin of the World Health Organization,98,3,155-155,WOS:000518382600005,,10619,#10546,,Jose  Garnica (2020-03-20 22:24:14)(Screen): https://www.who.int/bulletin/volumes/98/3/20-010320.pdf; ,"* Opinion piece; Clinical aspects, diagnosis, treatment",20-03-20
"Coronavirus vaccine trial, Mars rover delay and a boost for UK science",,,2020,,,579,,324-325,,10.1038/d41586-020-00752-8,10248,#10550,,,* Opinion piece,20-03-20
Probable Pangolin Origin of SARS-CoV-2 Associated with the COVID-19 Outbreak,"Zhang, Tao; Wu, Qunfu; Zhang, Zhigang","An outbreak of coronavirus disease 2019 (COVID-19) caused by the 2019 novel coronavirus (SARS-CoV-2) began in the city of Wuhan in China and has widely spread worldwide. Currently, it is vital to explore potential intermediate hosts of SARS-CoV-2 to control COVID-19 spread. Therefore, we reinvestigated published data from pangolin lung samples from which SARS-CoV-like CoVs were detected by Liu et al. [1]. We found genomic and evolutionary evidence of the occurrence of a SARS-CoV-2-like CoV (named Pangolin-CoV) in dead Malayan pangolins. Pangolin-CoV is 91.02% and 90.55% identical to SARS-CoV-2 and BatCoV RaTG13, respectively, at the whole-genome level. Aside from RaTG13, Pangolin-CoV is the most closely related CoV to SARS-CoV-2. The S1 protein of Pangolin-CoV is much more closely related to SARS-CoV-2 than to RaTG13. Five key amino acid residues involved in the interaction with human ACE2 are completely consistent between Pangolin-CoV and SARS-CoV-2, but four amino acid mutations are present in RaTG13. Both Pangolin-CoV and RaTG13 lost the putative furin recognition sequence motif at S1/S2 cleavage site that can be observed in the SARS-CoV-2. Conclusively, this study suggests that pangolin species are a natural reservoir of SARS-CoV-2-like CoVs.",,,Current Biology,,,,,10.1016/j.cub.2020.03.022,10178,#10553,,,"Reservoir; Virology, immunology",20-03-20
The evolution of CT characteristics in the patients with COVID-19 pneumonia,"Lei, Pinggui; Fan, Bing; Yuan, Yingnan",,,,Journal of Infection,,,,,10.1016/j.jinf.2020.03.014,10200,#10555,,,"Awaiting classification; Clinical aspects, diagnosis, treatment",20-03-20
Comprehensive analysis for diagnosis of novel coronavirus disease (COVID-19) infection,"Lei, Pinggui; Fan, Bing; Mao, Jujiang; Wang, Pingxian",,,,Journal of Infection,,,,,10.1016/j.jinf.2020.03.016,10201,#10556,,,"Clinical aspects, diagnosis, treatment",20-03-20
Coronavirus disease 2019 (COVID-19) outbreak in Iran; actions and problems,"Abdi, Milad",,,,Infection Control & Hospital Epidemiology,,,01-May,,10.1017/ice.2020.86,10174,#10558,,,* Opinion piece,20-03-20
